Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=1, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='0', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0][Batch 3799], Speed: 0.676 samples/sec, RPN_Conf=0.219,RPN_SmoothL1=0.149,RCNN_CrossEntropy=0.892,RCNN_SmoothL1=0.414,RPNAcc=0.912,RPNL1Loss=0.576,RCNNAcc=0.807,RCNNL1Loss=2.079
[Epoch 0][Batch 3899], Speed: 0.683 samples/sec, RPN_Conf=0.218,RPN_SmoothL1=0.149,RCNN_CrossEntropy=0.890,RCNN_SmoothL1=0.414,RPNAcc=0.912,RPNL1Loss=0.574,RCNNAcc=0.807,RCNNL1Loss=2.075
[Epoch 0][Batch 3999], Speed: 0.690 samples/sec, RPN_Conf=0.217,RPN_SmoothL1=0.149,RCNN_CrossEntropy=0.887,RCNN_SmoothL1=0.414,RPNAcc=0.912,RPNL1Loss=0.573,RCNNAcc=0.807,RCNNL1Loss=2.072
[Epoch 0][Batch 4099], Speed: 0.683 samples/sec, RPN_Conf=0.216,RPN_SmoothL1=0.149,RCNN_CrossEntropy=0.884,RCNN_SmoothL1=0.414,RPNAcc=0.913,RPNL1Loss=0.570,RCNNAcc=0.807,RCNNL1Loss=2.069
[Epoch 0][Batch 4199], Speed: 0.685 samples/sec, RPN_Conf=0.215,RPN_SmoothL1=0.148,RCNN_CrossEntropy=0.882,RCNN_SmoothL1=0.414,RPNAcc=0.913,RPNL1Loss=0.570,RCNNAcc=0.807,RCNNL1Loss=2.067
[Epoch 0][Batch 4299], Speed: 0.690 samples/sec, RPN_Conf=0.214,RPN_SmoothL1=0.147,RCNN_CrossEntropy=0.879,RCNN_SmoothL1=0.414,RPNAcc=0.914,RPNL1Loss=0.568,RCNNAcc=0.807,RCNNL1Loss=2.064
[Epoch 0][Batch 4399], Speed: 0.680 samples/sec, RPN_Conf=0.213,RPN_SmoothL1=0.147,RCNN_CrossEntropy=0.875,RCNN_SmoothL1=0.414,RPNAcc=0.914,RPNL1Loss=0.567,RCNNAcc=0.807,RCNNL1Loss=2.061
[Epoch 0][Batch 4499], Speed: 0.682 samples/sec, RPN_Conf=0.212,RPN_SmoothL1=0.146,RCNN_CrossEntropy=0.871,RCNN_SmoothL1=0.414,RPNAcc=0.914,RPNL1Loss=0.566,RCNNAcc=0.807,RCNNL1Loss=2.056
[Epoch 0][Batch 4599], Speed: 0.681 samples/sec, RPN_Conf=0.211,RPN_SmoothL1=0.146,RCNN_CrossEntropy=0.868,RCNN_SmoothL1=0.414,RPNAcc=0.915,RPNL1Loss=0.565,RCNNAcc=0.807,RCNNL1Loss=2.054
[Epoch 0][Batch 4699], Speed: 0.697 samples/sec, RPN_Conf=0.210,RPN_SmoothL1=0.145,RCNN_CrossEntropy=0.865,RCNN_SmoothL1=0.413,RPNAcc=0.915,RPNL1Loss=0.562,RCNNAcc=0.807,RCNNL1Loss=2.049
